Member_ID,First_Name,Last_Name,Gender,Age,Height,Weight,Hours_Sleep,Calories_Consumed,Exercise_Calories_Burned,Date,Activity_Type,Equipment_ID
926494,Corissa,Aguiler,F,39,"5,3",130,8,2501,990,9/11/17,Walking,0
926494,Corissa,Aguiler,F,39,"5,3",130,7,2014,842,9/3/17,Running,0
926494,Corissa,Aguiler,F,39,"5,3",128,9,1995,959,9/7/17,Bicycling,0
926494,Corissa,Aguiler,F,39,"5,3",130,8,1872,718,10/7/17,Swimming,0
926494,Corissa,Aguiler,F,39,"5,3",130,8,2197,772,9/28/17,Elipltical,2
926494,Corissa,Aguiler,F,39,"5,3",130,8,1949,802,9/9/17,Stair_Steppper,20
926494,Corissa,Aguiler,F,39,"5,3",128,9,1756,436,10/6/17,Stationary_Bike,27
926494,Corissa,Aguiler,F,39,"5,3",129,7,2060,711,9/1/17,Treadmill,32
926494,Corissa,Aguiler,F,39,"5,3",130,5,2229,727,10/4/17,Rowing_Machine,43
926494,Corissa,Aguiler,F,39,"5,3",130,7,1674,541,9/15/17,Walking,0
441804,Olga,Keig,F,52,"5,3",128,9,1810,425,10/18/17,Running,0
441804,Olga,Keig,F,52,"5,3",128,7,2373,516,9/2/17,Bicycling,0
441804,Olga,Keig,F,52,"5,3",128,8,1842,818,10/7/17,Swimming,0
441804,Olga,Keig,F,52,"5,3",130,7,2106,415,9/16/17,Elipltical,2
441804,Olga,Keig,F,52,"5,3",129,7,1971,433,10/19/17,Stair_Steppper,13
441804,Olga,Keig,F,52,"5,3",130,7,2314,848,9/21/17,Stationary_Bike,26
441804,Olga,Keig,F,52,"5,3",128,9,1715,390,9/15/17,Treadmill,37
441804,Olga,Keig,F,52,"5,3",128,8,1682,564,9/1/17,Rowing_Machine,49
441804,Olga,Keig,F,52,"5,3",128,7,1933,989,9/11/17,Walking,0
441804,Olga,Keig,F,52,"5,3",128,9,1926,695,10/8/17,Running,0
137993,Mary,Johnson,F,61,"5,3",135,5,1626,788,9/1/17,Bicycling,0
137993,Mary,Johnson,F,61,"5,3",135,8,2143,763,10/3/17,Swimming,0
137993,Mary,Johnson,F,61,"5,3",135,6,2173,852,9/21/17,Elipltical,3
137993,Mary,Johnson,F,61,"5,3",135,5,1835,399,9/25/17,Stair_Steppper,19
137993,Mary,Johnson,F,61,"5,3",135,7,1863,571,10/10/17,Stationary_Bike,23
137993,Mary,Johnson,F,61,"5,3",135,5,1665,682,9/5/17,Treadmill,40
137993,Mary,Johnson,F,61,"5,3",135,5,2048,651,10/14/17,Rowing_Machine,50
137993,Mary,Johnson,F,61,"5,3",135,6,2312,676,9/22/17,Walking,0
137993,Mary,Johnson,F,61,"5,3",135,7,1840,258,9/28/17,Running,0
137993,Mary,Johnson,F,61,"5,3",135,5,1726,560,9/9/17,Bicycling,0
428247,Julie,Livermore,F,69,"5,3",130,9,2396,516,10/9/17,Swimming,0
428247,Julie,Livermore,F,69,"5,3",130,7,2178,292,9/14/17,Elipltical,4
428247,Julie,Livermore,F,69,"5,3",130,8,1710,578,9/2/17,Stair_Steppper,17
428247,Julie,Livermore,F,69,"5,3",131,5,2204,849,9/10/17,Stationary_Bike,29
428247,Julie,Livermore,F,69,"5,3",131,6,2349,330,9/28/17,Treadmill,31
428247,Julie,Livermore,F,69,"5,3",131,6,1772,819,9/13/17,Rowing_Machine,43
428247,Julie,Livermore,F,69,"5,3",131,5,1692,289,9/21/17,Walking,0
428247,Julie,Livermore,F,69,"5,3",132,8,1693,315,10/17/17,Running,0
428247,Julie,Livermore,F,69,"5,3",134,9,1766,463,9/25/17,Bicycling,0
428247,Julie,Livermore,F,69,"5,3",130,5,2362,572,9/9/17,Swimming,0
901870,Lois,Griffin,F,47,"5,2",127,6,2195,600,10/11/17,Elipltical,7
901870,Lois,Griffin,F,47,"5,2",128,8,1676,876,9/5/17,Stair_Steppper,14
901870,Lois,Griffin,F,47,"5,2",128,7,1728,971,10/19/17,Stationary_Bike,27
901870,Lois,Griffin,F,47,"5,2",128,8,2324,320,10/13/17,Treadmill,38
901870,Lois,Griffin,F,47,"5,2",128,9,2182,317,9/23/17,Rowing_Machine,41
901870,Lois,Griffin,F,47,"5,2",128,6,1952,629,10/18/17,Walking,0
901870,Lois,Griffin,F,47,"5,2",127,5,1894,787,10/7/17,Running,0
901870,Lois,Griffin,F,47,"5,2",127,9,2322,787,10/23/17,Bicycling,0
901870,Lois,Griffin,F,47,"5,2",127,6,2108,989,9/15/17,Swimming,0
901870,Lois,Griffin,F,47,"5,2",127,6,2373,442,9/19/17,Elipltical,7
