Member_ID,First_Name,Last_Name,Gender,Age,Height,Weight,Hours_Sleep,Calories_Consumed,Exercise_Calories_Burned,Date,Activity_Type,Equipment_ID,Activity Code
926494,Corissa,Aguiler,F,39,63,130,8,2501,990,2017-09-11,Running,0,2
926494,Corissa,Aguiler,F,39,63,130,7,2014,842,2017-09-03,Elliptical,53,5
926494,Corissa,Aguiler,F,39,63,128,9,1995,959,2017-09-07,Rowing_Machine,96,9
926494,Corissa,Aguiler,F,39,63,130,8,1872,718,2017-10-07,Walking,0,1
926494,Corissa,Aguiler,F,39,63,130,8,2197,772,2017-09-28,Swimming,0,4
926494,Corissa,Aguiler,F,39,63,130,8,1949,802,2017-09-09,Elliptical,57,5
926494,Corissa,Aguiler,F,39,63,128,9,1756,436,2017-10-06,Walking,0,1
926494,Corissa,Aguiler,F,39,63,129,7,2060,711,2017-09-01,Treadmill,83,8
926494,Corissa,Aguiler,F,39,63,130,5,2229,727,2017-10-04,Rowing_Machine,92,9
926494,Corissa,Aguiler,F,39,63,130,7,1674,541,2017-09-15,Bicycling,0,3
441804,Olga,Keig,F,52,63,128,9,1810,425,2017-10-18,Elliptical,59,5
441804,Olga,Keig,F,52,63,128,7,2373,516,2017-09-02,Stationary_Bike,79,7
441804,Olga,Keig,F,52,63,128,8,1842,818,2017-10-07,Treadmill,89,8
441804,Olga,Keig,F,52,63,130,7,2106,415,2017-09-16,Rowing_Machine,94,9
441804,Olga,Keig,F,52,63,129,7,1971,433,2017-10-19,Treadmill,85,8
441804,Olga,Keig,F,52,63,130,7,2314,848,2017-09-21,Elliptical,55,5
441804,Olga,Keig,F,52,63,128,9,1715,390,2017-09-15,Bicycling,0,3
441804,Olga,Keig,F,52,63,128,8,1682,564,2017-09-01,Stationary_Bike,79,7
441804,Olga,Keig,F,52,63,128,7,1933,989,2017-09-11,Treadmill,82,8
441804,Olga,Keig,F,52,63,128,9,1926,695,2017-10-08,Swimming,0,4
137993,Mary,Johnson,F,61,63,135,5,1626,788,2017-09-01,Bicycling,0,3
137993,Mary,Johnson,F,61,63,135,8,2143,763,2017-10-03,Running,0,2
137993,Mary,Johnson,F,61,63,135,6,2173,852,2017-09-21,Stationary_Bike,74,7
137993,Mary,Johnson,F,61,63,135,5,1835,399,2017-09-25,Swimming,0,4
137993,Mary,Johnson,F,61,63,135,7,1863,571,2017-10-10,Walking,0,1
137993,Mary,Johnson,F,61,63,135,5,1665,682,2017-09-05,Running,0,2
137993,Mary,Johnson,F,61,63,135,5,2048,651,2017-10-14,Running,0,2
137993,Mary,Johnson,F,61,63,135,6,2312,676,2017-09-22,Walking,0,1
137993,Mary,Johnson,F,61,63,135,7,1840,258,2017-09-28,Bicycling,0,3
137993,Mary,Johnson,F,61,63,135,5,1726,560,2017-09-09,Stair_Stepper,68,6
428247,Julie,Livermore,F,69,63,130,9,2396,516,2017-10-09,Rowing_Machine,94,9
428247,Julie,Livermore,F,69,63,130,7,2178,292,2017-09-14,Stair_Stepper,62,6
428247,Julie,Livermore,F,69,63,130,8,1710,578,2017-09-02,Stair_Stepper,62,6
428247,Julie,Livermore,F,69,63,131,5,2204,849,2017-09-10,Bicycling,0,3
428247,Julie,Livermore,F,69,63,131,6,2349,330,2017-09-28,Stair_Stepper,66,6
428247,Julie,Livermore,F,69,63,131,6,1772,819,2017-09-13,Stair_Stepper,64,6
428247,Julie,Livermore,F,69,63,131,5,1692,289,2017-09-21,Bicycling,0,3
